teamNumber,nameShort,location,latitude,longitude
744,Shark Attack,"Ft. Lauderdale, Florida",26.1223084,-80.1433786
751,barn2robotics,"Portola Valley, California",37.3736298,-122.219047
752,The Chargers,"Newark, New Jersey",40.735657,-74.1723667
753,High Desert Droids,"Bend, Oregon",44.0581728,-121.3153096
766,M-A Bears,"Atherton, California",37.453773,-122.2058272
801,Horsepower,"Merritt Island, Florida",28.2662775,-80.66369844594115
806,The Brooklyn Blacksmiths,"nan, Brooklyn, New York",40.6038604,-73.9966803
810,The Mechanical Bulls,"nan, Smithtown, New York",40.872264,-73.242174
811,Cardinals,"Nashua, New Hampshire",42.7656251,-71.4677032
812,The Midnight Mechanics,"nan, San Diego, California",-53.16129205,-70.93304406533326
815,Advanced Power,"Allen Park, Michigan",42.2595071,-83.2107671
816,Anomaly,"Westampton, New Jersey",40.0192445,-74.81923825
818,Steel Armadillos,"Warren, Michigan",42.4932575,-83.0062746
829,Digital Goats,"Indianapolis, Indiana",39.7683331,-86.1583502
830,The RatPack,"nan, Ann Arbor, Michigan",42.2737117,-83.74215116398906
832,Oscar,"Roswell, Georgia",34.02332,-84.360022
834,SparTechs,"Center Valley, Pennsylvania",40.529266,-75.393236
835,The Sting,"Beverly Hills, Michigan",42.5226219,-83.241357
836,The RoboBees,"Leonardtown, Maryland",38.2912431,-76.6357946
839,Rosie Robotics,"Agawam, Massachusetts",42.0688621,-72.6151604
840,ART,"nan, San Mateo, California",37.6535403,-122.4168664
841,The BioMechs,"nan, Richmond, California",37.7789735,-122.47133767836254
842,Falcon Robotics,"Phoenix, Arizona",33.4484367,-112.074141
846,The Funky Monkeys,"nan, San Jose, California",37.3565689,-121.9011479
847,PHRED,"Philomath, Oregon",44.5400013,-123.367613
848,ROBOHUSKIES,"nan, San Pedro, California",-18.090424,-40.1084394
852,The Athenian Robotics Collective,"Danville, California",37.8225892,-122.0008254
857,Superior Roboworks,"Houghton, Michigan",46.8591287,-88.7774734
858,Demons,"Wyoming, Michigan",42.9132581,-85.7057035
862,Lightning Robotics,"Canton, Michigan",42.3076547,-83.4868961
867,Absolute Value,"Arcadia, California",34.1362075,-118.0401497
868,TechHOUNDS,"Carmel, Indiana",39.9788017,-86.1189257
869,Power Cord 869,"Middlesex, New Jersey",40.596106,-74.237292
870,TEAM  R. I. C. E.  ,"Southold, New York",41.0651442,-72.4263497
871,Robotechs,"West Islip, New York",40.7058564,-73.3077301
876,Thunder Robotics,North Dakota,47.6201461,-100.540737
877,North Star,"Cando, North Dakota",48.486668,-99.209859
884,Mechanical Mules,"Malverne, New York",40.6789916,-73.6740191
885,THE GREEN TEAM,"Randolph Center, Vermont",43.9408988,-72.607603
888,Robotiators,"Glenelg, Maryland",39.2644382,-76.9899134
894,Chargers,"Flint, Michigan",43.0161693,-83.6900211
896,Blue Steel,"Newark, New Jersey",40.735657,-74.1723667
900,Zebracorns,"Durham, North Carolina",35.996653,-78.9018053
904,D cubed,"Grand Rapids, Michigan",42.9632405,-85.6678639
910,The Foley Freeze,"Madison Heights, Michigan",42.4858692,-83.1052028
930,Mukwonago BEARs,"Mukwonago, Wisconsin",42.8666803,-88.3334274
931,Perpetual Chaos,"St. Louis, Missouri",38.6280278,-90.1910154
932,Circuit Chargers,"Tulsa, Oklahoma",36.1563122,-95.9927516
935,RaileRobotics,"Newton, Kansas",38.0469166,-97.3447244
937,North Stars,"nan, Overland Park, Kansas",38.9265622,-94.7211894
938,Team Botman,"Richmond, Kansas",38.4027955,-95.2538631
945,Team Banana,"Orlando, Florida",28.5421109,-81.3790304
948,NRG (Newport Robotics Group),"Bellevue, Washington",47.6144219,-122.192337
949,Wolverine Robotics,"Bellevue, Washington",47.6144219,-122.192337
955,CV Robotics,"Corvallis, Oregon",44.5645659,-123.2620435
956,Eagle Cybertechnology ,"Adair Village, Oregon",44.6722633,-123.2183372
957,SWARM,"Albany, Oregon",44.6365071,-123.1059324
967,Iron Lions,"Marion, Iowa",41.3144108,-93.1010141
968,RAWC (Robotics Alliance Of West Covina),"West Covina, California",34.0686208,-117.9389526
971,Spartan Robotics,"Mountain View, California",37.3893889,-122.0832101
973,Greybots,"Atascadero, California",35.4894169,-120.6707255
974,Nautae,"nan, Los Angeles, California",34.0049604,-117.7877947
980,ThunderBots,"Sylmar, California",34.3076252,-118.4492148
981,Snobotics,"Lebec, California",34.8416435,-118.8648189
987,HIGHROLLERS,"nan, Las Vegas, Nevada",36.05393815,-115.16914475
988,Clockwork Chargers,"nan, Las Vegas, Nevada",36.05393815,-115.16914475
991,BroncoBotics,"Phoenix, Arizona",33.4484367,-112.074141
995,Monkey Wrenchers,"Alhambra, California",34.093042,-118.12706
996,Mecha Knights,"Casa Grande, Arizona",32.8795022,-111.757352
997,Spartan Robotics,"Corvallis, Oregon",44.5645659,-123.2620435
999,MechaRams,"Cheshire, Connecticut",41.4989861,-72.900658
1002,The CircuitRunners,"Marietta, Georgia",33.9528472,-84.5496148
1011,CRUSH,"Tucson, Arizona",32.2228765,-110.9748477
1014,Bad Robots,"Dublin, Ohio",40.0992294,-83.1140771
1018,RoboDevils,"Indianapolis, Indiana",39.7683331,-86.1583502
1023,Bedford Express,"Temperance, Michigan",41.76476,-83.57222792957555
1024,Kil-A-Bytes,"Indianapolis, Indiana",39.7683331,-86.1583502
1025,IMPIS,"Ferndale, Michigan",42.4605917,-83.1346478
1027,Project Jabberwocky,"West Springfield, Massachusetts",42.105237,-72.6213712
1033,Team CLUTCH,"Richmond, Virginia",37.5385087,-77.43428
1038,Thunderhawks,"Liberty Township, Ohio",41.4391165,-84.05702801517452
1051,Technical Terminators,"nan, Marion, South Carolina",34.0825447,-79.3716287
1058,PVC Pirates,"Londonderry, New Hampshire",42.8650869,-71.3739532
1065,The Moose,"Kissimmee, Florida",28.2918995,-81.4075838
1071,Team Max,"Wolcott, Connecticut",41.6023196,-72.9867718
1072,Harker Robotics,"nan, San Jose, California",37.3565689,-121.9011479
1073,The Force Team,"Hollis, New Hampshire",42.7431621,-71.591333
1076,Pi Hi Samurai,"nan, Ann Arbor, Michigan",42.2737117,-83.74215116398906
1086,Blue Cheese,"Glen Allen, Virginia",37.664879,-77.48712356574592
1089,Team Mercury,"Hightstown, New Jersey",40.269559,-74.5232454
1091,Oriole Assault,"Hartford, Wisconsin",43.3177776,-88.378857
1094,Channel Cats,"O'fallon, Missouri",38.7902503,-90.7033292
1095,Metal Minds,"Chatham, Virginia",36.8256943,-79.3980806
1099,DiscoTechs,"Brookfield, Connecticut",41.4825947,-73.4095652
1100,The T-Hawks,"Northboro, Massachusetts",42.2690525,-71.7656605
